English name,Arabic name,Frequency,Polarity,SymbolRate,Quality,comment,news
Al Kahera Wal Nas,القاهرة والناس,11766,H,27500,SD,منوعات,
Al Oula,الاولى,11766,H,27500,SD,منوعات,
Nile Culture,النيل الثقافيه,11766,H,27500,SD,ثقافيه,
Saba TV,قناة صبا,11766,H,27500,HD,منوعات,
Azhari,قناة ازهرى,11766,H,27500,SD,دينيه,
BBC News Middle East,بي بي سي نيوز الشرق الأوسط,11766,H,27500,SD,اخبار,
Libya Alwataniya,ليبيا الوطنية,11766,H,27500,HD,منوعات,
Libya Sport 1,ليبيا سبورت 1,11766,H,27500,HD,رياضه,
Al-Nahar One,النهار 1,11785,V,27500,SD,منوعات,
Al-Nahar Drama,النهار مسلسلات,11785,V,27500,SD,مسلسلات,
CBC Egypt,سي بي سي مصر,11785,V,27500,SD,منوعات,
CBC Sofra,سى بى سى سفره,11785,V,27500,SD,مطبخ,
CBC Drama,سى بى سى دراما,11785,V,27500,SD,مسلسلات,
Extra News,سى بى سى اخبار,11785,V,27500,SD,اخبار,
Alhayat Drama,الحياه مسلسلات,11785,V,27500,SD,مسلسلات,
Space Toon Arabic,سبيس تون,11785,V,27500,SD,اطفال,
Mix,ميكس تى فى,11785,V,27500,SD,افلام اجنبى,
Hya TV,قناة هي تي في,11785,V,27500,SD,منوعات,
Alsharqiya TV,قناة الشرقية,11785,V,27500,HD,منوعات,
Palestine TV,تلفزيون فلسطين,11823,V,27500,SD,منوعات,
Modern Mti,مودرن إم تي آي,11823,V,27500,HD,رياضه,
Egyptian TV,الفضائية المصريه,11823,V,27500,HD,منوعات,
MBC Maser 2,ام بى سى مصر 2,11823,V,27500,SD,منوعات,
El Mehwar,المحور,11823,V,27500,SD,منوعات,
AlHadath Alyoum,الحدث اليوم,11823,V,27500,SD,منوعات,
Sada El Balad Drama,صدى البلد دراما,11823,V,27500,SD,مسلسلات,
Sada El Balad,صدى البلد,11823,V,27500,SD,منوعات,
Sada El Balad 2,صدى البلد 2,11823,V,27500,SD,منوعات,
TeN TV,قناه تن 10,11843,H,27500,SD,منوعات,
Nile News,نايل الاخبارية,11843,H,27500,SD,اخبار,
Nile Life,نايل لايف,11843,H,27500,SD,منوعات,
Nile Drama,نايل دراما,11843,H,27500,SD,مسلسلات,
Nile Sports,نايل سبورت,11843,H,27500,SD,رياضه,
Nile Cinema,نايل سينما,11843,H,27500,SD,افلام عربى,
Maspero Zaman,ماسبيرو زمان,11843,H,27500,SD,منوعات,
Mix One,ميكس 1,11843,H,27500,SD,مسلسلات,
ON Sport 2,اون سبورت 2,11862,V,27500,HD,رياضه,
ON E,اون اي,11862,V,27500,HD,منوعات,
ON Sport 1,اون سبورت 1,11862,V,27500,HD,رياضه,
ON Drama,اون دراما,11862,V,27500,SD,مسلسلات,
Misr Quran Kareem,مصر القرآن الكريم,11862,V,27500,SD,دينيه,
5 Kids,5 كيدز,11900,V,27500,HD,اطفال,
Al Fath TV,قناة الفتح,11900,V,27500,SD,دينيه,
Misr Al Mostaqbal TV,قناة مصر المستقبل,11900,V,27500,SD,منوعات,
Al Fath Sonnah TV,الفتح السنيه,11900,V,27500,SD,دينيه,
Al Saeeda,السعيدة,11900,V,27500,SD,منوعات,
iFilm Arabic,آي فيلم عربي,11900,V,27500,HD,منوعات,
Nogoum FM TV,نجوم اف ام,11900,V,27500,SD,منوعات,
Al Ghad TV,قناة الغد,11900,V,27500,HD,منوعات,
Alalam News Channel,قناة العالم الإخبارية,11900,V,27500,HD,اخبار,
Alkass One,الكاس 1,11919,H,27500,HD,رياضه,
Alkass Two,الكاس 2,11919,H,27500,HD,رياضه,
Alkass Three,الكاس 3,11919,H,27500,HD,رياضه,
Alkass Four,ألكاس 4,11919,H,27500,HD,رياضه,
Press TV,برس تي في,11938,V,27500,HD,اخبار,
Al Sabah Egypt,الصباح مصر,11938,V,27500,SD,منوعات,
Mix Bel Araby,ميكس بالعربى,11938,V,27500,SD,منوعات,
Baghdad TV,تلفزيون بغداد,11938,V,27500,HD,منوعات,
Libya Al Hadath,ليبيا الحدث,11938,V,27500,HD,اخبار,
Alikhbaria Syria,الأخبارية سوريا,11938,V,27500,HD,اخبار,
Al Araby 2,العربي 2,11938,V,27500,SD,منوعات,
Al Thania (Syria TV2),الثانيه السورية,11938,V,27500,SD,منوعات,
Syria TV,التلفزيون السوري,11938,V,27500,SD,منوعات,
Al Haqeqa Al Dawlia,الحقيقة الدولية,11958,H,27500,SD,اخبار,
Jordan Amen,الاردن امين,11958,H,27500,SD,منوعات,
Al Rahman,الرحمن,11958,H,27500,SD,منوعات,
Hadramout TV,تلفزيون حضرموت,11958,H,27500,HD,منوعات,
Amman TV,تلفزيون عمان,11958,H,27500,HD,منوعات,
Jordan Sport,الاردن الرياضيه,11958,H,27500,SD,رياضه,
RT Arabic,روسيا اليوم بالعربيه,11958,H,27500,HD,اخبار,
Roya TV,رؤية,11958,H,27500,HD,منوعات,
Jordan TV (Al Ordoni TV),التلفزيون الأردني (التلفزيون الأردني),11958,H,27500,HD,منوعات,
RT English,روسيا اليوم الانجليزية,11958,H,27500,HD,اخبار,
Sky News Arabia,سكاي نيوز عربية,11977,V,27500,SD,اخبار,
Al Kahera Wal Nas 2,القاهرة والناس 2,12015,V,27500,SD,منوعات,
Libya Alrasmia Channel,قناة ليبيا الرسمية,12015,V,27500,SD,منوعات,
MBC Maser,إم بي سي مصر,12015,V,27500,SD,منوعات,
Hadramaut TV,تلفزيون حضرموت,12015,V,27500,SD,منوعات,
2M Monde,تو ام موند,12015,V,27500,SD,منوعات,
Aden TV 64,تلفزيون عدن 64,12015,V,27500,HD,منوعات,
Alhayat,الحياة,12015,V,27500,SD,منوعات,
Al Shams Drama,الشمس دراما,12015,V,27500,SD,مسلسلات,
Beity TV,تلفزيون بيتى,12034,H,27500,SD,منوعات,
Cima TV,سينما تى فى,12034,H,27500,SD,افلام عربى,
Al Araby 2,العربي 2,12034,H,27500,HD,منوعات,
Jordan Sport,الاردن الرياضيه,12034,H,27500,HD,رياضه,
Sumar News TV,قناة سومار نيوز التلفزيونية,12034,H,27500,SD,اخبار,
RT Arabic,روسيا اليوم بالعربيه,12034,H,27500,SD,اخبار,
Al-Shams TV,تلفزيون الشمس,12054,V,27500,SD,منوعات,
Al Joumhouriya TV,قناة الجمهورية,12054,V,27500,HD,منوعات,
Al Masriya,المصرية,12054,V,27500,HD,منوعات,
Nile TV International,النيل الدولية,12054,V,27500,SD,اخبار,
ERTU 2 Sat (Althanya),الثانية المصرية,12054,V,27500,SD,منوعات,
PNC Drama (Panorama Drama),بي ان سى دراما,12054,V,27500,SD,مسلسلات,
PNC Drama 2 (Panorama Drama 2),بى ان سى دراما 2,12054,V,27500,SD,مسلسلات,
PNC Mosalsalat (Panorama Mosalsalat),بى ان سى مسلاسلات,12054,V,27500,SD,مسلسلات,
PNC Food (Panorama Food),بي ان سى مطبخ,12054,V,27500,SD,مطبخ,
Al Nas,الناس,12054,V,27500,SD,دينيه,
Al Nada TV,قناة الندى,12054,V,27500,SD,دينيه,
Almajd Holy Quran,المَجد القرآن الكريم,12054,V,27500,SD,دينيه,
DMC,دي إم سي,12092,V,27500,HD,منوعات,
CBC Egypt,سي بي سي مصر,12092,V,27500,HD,منوعات,
Zamalek Sports,الزمالك الرياضيه,12092,V,27500,SD,رياضه,
DMC Drama,دى ام سى دراما,12092,V,27500,SD,مسلسلات,
Extra Live,إكسترا لايف,12092,V,27500,SD,اخبار,
DMC Masraheyat,دي إم سي مسرحيات,12092,V,27500,SD,منوعات,
Oman TV,تلفزيون عُمان,12130,V,27500,HD,منوعات,
Oman TV Sport,قناة عمان الرياضية,12130,V,27500,HD,رياضه,
Oman TV Live,عمان تى فى,12130,V,27500,HD,منوعات,
Oman TV Culture,عمان الثقافيه,12130,V,27500,HD,ثقافيه,
Saudi TV,التلفزيون السعودي,12130,V,27500,SD,منوعات,
Saudi Thikrayat,السعودية ذكريات,12130,V,27500,SD,منوعات,
SBC,اس بى سى,12130,V,27500,SD,منوعات,
